candidato,periodo_2d,mean,std,n,se,ci95,media_movil_2
kast,2025-12-22,0.4985576923076923,0.17561261550350507,52,0.024353088069854995,0.047732052616915786,0.5189827935222672
kast,2025-12-24,0.48578947368421055,0.23614235375627424,38,0.03830734821550607,0.0750824025023919,0.49217358299595143
kast,2025-12-26,0.46366666666666667,0.18034160706308247,15,0.046564002718906684,0.0912654453290571,0.4747280701754386
kast,2025-12-28,0.439537037037037,0.1583144950556624,27,0.030467638779002118,0.05971657200684415,0.45160185185185187
kast,2025-12-30,0.39250000000000007,0.3078047270592185,3,0.1777111420254791,0.34831383836993907,0.41601851851851857
kast,2026-01-01,0.425,0.11902380714238087,4,0.05951190357119043,0.11664333099953325,0.40875000000000006
kast,2026-01-07,0.26666666666666666,0.1527525231651947,3,0.0881917103688197,0.1728557523228866,0.3458333333333333
kast,2026-01-09,0.4000000000000001,0.25,3,0.14433756729740646,0.2829016319029167,0.33333333333333337
kast,2026-01-11,0.475,0.08660254037844384,4,0.04330127018922192,0.08487048957087497,0.4375
kast,2026-01-15,0.37857142857142856,0.20987524639084776,7,0.07932538689979848,0.15547775832360503,0.42678571428571427
kast,2026-01-17,0.55,0.14577379737113247,5,0.06519202405202647,0.12777636714197188,0.4642857142857143
kast,2026-01-19,0.4720833333333333,0.14714244115314165,30,0.026864411395317384,0.052654246334822075,0.5110416666666666
kast,2026-01-21,0.43212962962962964,0.1656756326143505,27,0.0318842903626856,0.06249320911086377,0.45210648148148147
matthei,2025-08-06,0.3833333333333333,0.11930353445448855,3,0.06887992773257276,0.1350046583558426,0.3833333333333333
matthei,2025-08-10,0.40384615384615385,0.1951298055798781,13,0.0541192707222746,0.10607377061565822,0.3935897435897436
matthei,2025-08-12,0.338125,0.21866426891469945,4,0.10933213445734973,0.21429098353640547,0.37098557692307693
matthei,2025-08-14,0.3375,0.1181453906563152,4,0.0590726953281576,0.1157824828431889,0.3378125
matthei,2025-08-18,0.31666666666666665,0.16072751268321592,3,0.09279607271383371,0.18188030251911405,0.32708333333333334
matthei,2025-08-20,0.45999999999999996,0.07416198487095664,5,0.033166247903554,0.06500584589096584,0.3883333333333333
matthei,2025-08-22,0.315,0.11198958284888227,7,0.04232808366400098,0.08296304398144193,0.38749999999999996
matthei,2025-08-24,0.3333333333333333,0.20207259421636906,3,0.1166666666666667,0.2286666666666667,0.32416666666666666
matthei,2025-08-30,0.2916666666666667,0.1800462903440853,6,0.07350359023733316,0.144067036865173,0.3125
matthei,2025-09-01,0.4475,0.1708591734231942,8,0.060407840077734476,0.11839936655235957,0.3695833333333334
matthei,2025-09-03,0.3853846153846154,0.2118023994440488,13,0.05874341626629412,0.11513709588193646,0.4164423076923077
matthei,2025-09-05,0.3759375,0.13728188869725574,8,0.04853647721596319,0.09513149534328785,0.3806610576923077
matthei,2025-09-11,0.34285714285714286,0.12724180205607036,7,0.048092880658867035,0.09426204609137939,0.3593973214285714
matthei,2025-09-13,0.3718181818181818,0.17319508306108694,22,0.03692531577789319,0.07237361892467065,0.35733766233766234
matthei,2025-09-19,0.378,0.20717142660125695,5,0.09264987857520375,0.18159376200739935,0.3749090909090909
matthei,2025-09-27,0.23625,0.14284646875706672,12,0.04123622359483997,0.08082299824588635,0.307125
matthei,2025-10-01,0.42000000000000004,0.19557607215607947,5,0.08746427842267951,0.17142998570845183,0.328125
matthei,2025-10-03,0.42,0.2811710206567221,15,0.07259804536264175,0.14229216891077784,0.42000000000000004
matthei,2025-10-05,0.36250000000000004,0.14361406616345074,4,0.07180703308172537,0.1407417848401817,0.39125
matthei,2025-10-07,0.21428571428571427,0.14638501094227999,7,0.055328333517248814,0.10844353369380767,0.2883928571428572
matthei,2025-10-09,0.35000000000000003,0.1118033988749895,7,0.04225771273642583,0.08282511696339463,0.28214285714285714
matthei,2025-10-11,0.5375,0.20478429418013763,15,0.052875077394967565,0.10363515169413642,0.44375
matthei,2025-10-13,0.46416666666666667,0.19447900486513536,21,0.04243879813686514,0.08318004434825567,0.5008333333333334
matthei,2025-10-15,0.46499999999999997,0.19806203934265504,8,0.07002550555741406,0.13724999089253156,0.46458333333333335
matthei,2025-10-17,0.3277777777777778,0.11211353372561426,9,0.03737117790853809,0.07324750870073465,0.3963888888888889
matthei,2025-10-19,0.4076470588235294,0.18495242333383694,17,0.044857551595256596,0.08792080112670293,0.3677124183006536
matthei,2025-10-21,0.4878125,0.1348109622238277,8,0.04766287278337603,0.09341923065541702,0.44772977941176473
matthei,2025-10-23,0.40146341463414636,0.16928431669250635,41,0.02643776856661087,0.051818026390557305,0.4446379573170732
matthei,2025-10-25,0.33682432432432435,0.1837954862905528,37,0.03021579181746256,0.05922295196222662,0.3691438694792354
matthei,2025-10-27,0.4374166666666667,0.15412780653446811,30,0.02813975879257344,0.05515392723344394,0.38712049549549554
matthei,2025-10-29,0.4808,0.19922600231897442,25,0.03984520046379488,0.07809659290903796,0.45910833333333334
matthei,2025-10-31,0.3592682926829268,0.1415287558042965,41,0.022103078209370877,0.043322033290366914,0.4200341463414634
matthei,2025-11-02,0.357,0.20477901368168677,10,0.0647568100236913,0.12692334764643495,0.3581341463414634
matthei,2025-11-04,0.47875000000000006,0.18971216389099863,40,0.02999612688673536,0.05879240869800131,0.417875
matthei,2025-11-06,0.3017391304347826,0.13920928240710242,23,0.02902714195242281,0.05689319822674871,0.39024456521739137
matthei,2025-11-08,0.52,0.17925772879665,7,0.06775305299745679,0.13279598387501532,0.4108695652173914
matthei,2025-11-10,0.4390384615384615,0.18603235864101295,26,0.03648394718731601,0.07150853648713938,0.4795192307692308
matthei,2025-11-12,0.41922619047619053,0.1744682584304885,42,0.026921036737876356,0.05276523200623766,0.4291323260073261
matthei,2025-11-14,0.37629032258064515,0.1977402241238721,31,0.03551519267661021,0.06960977764615602,0.3977582565284179
matthei,2025-11-16,0.3475,0.18975802514810308,75,0.021911369380029817,0.04294628398485844,0.3618951612903226
matthei,2025-11-18,0.41508333333333336,0.2054253373102733,60,0.026520297009724317,0.05197978213905966,0.3812916666666667
matthei,2025-11-20,0.38749999999999996,0.08539125638299667,4,0.04269562819149834,0.08368343125533674,0.4012916666666667
