candidato,semana,emocion_final,proporcion,emocion_lab
matthei,2025-09-08,indignacion,0.16129032258064516,Indignación
matthei,2025-09-08,ira,0.03225806451612903,Ira
matthei,2025-09-08,ironia,0.06451612903225806,Ironía
matthei,2025-09-08,miedo,0.0967741935483871,Miedo
matthei,2025-09-08,ninguna,0.22580645161290322,Ninguna
matthei,2025-09-22,desprecio,0.13333333333333333,Desprecio
matthei,2025-09-22,indignacion,0.2,Indignación
matthei,2025-09-22,ironia,0.26666666666666666,Ironía
matthei,2025-09-22,ninguna,0.4,Ninguna
matthei,2025-09-29,desprecio,0.5,Desprecio
matthei,2025-09-29,esperanza,0.041666666666666664,Esperanza
matthei,2025-09-29,indignacion,0.08333333333333333,Indignación
matthei,2025-09-29,ironia,0.125,Ironía
matthei,2025-09-29,miedo,0.041666666666666664,Miedo
matthei,2025-09-29,ninguna,0.20833333333333334,Ninguna
matthei,2025-10-06,desprecio,0.2903225806451613,Desprecio
matthei,2025-10-06,esperanza,0.03225806451612903,Esperanza
matthei,2025-10-06,indignacion,0.22580645161290322,Indignación
matthei,2025-10-06,ironia,0.22580645161290322,Ironía
matthei,2025-10-06,miedo,0.03225806451612903,Miedo
matthei,2025-10-06,ninguna,0.1935483870967742,Ninguna
matthei,2025-10-13,desprecio,0.3541666666666667,Desprecio
matthei,2025-10-13,esperanza,0.08333333333333333,Esperanza
matthei,2025-10-13,indignacion,0.08333333333333333,Indignación
matthei,2025-10-13,ironia,0.22916666666666666,Ironía
matthei,2025-10-13,miedo,0.020833333333333332,Miedo
matthei,2025-10-13,ninguna,0.22916666666666666,Ninguna
matthei,2025-10-20,desprecio,0.3548387096774194,Desprecio
matthei,2025-10-20,esperanza,0.03225806451612903,Esperanza
matthei,2025-10-20,indignacion,0.1827956989247312,Indignación
matthei,2025-10-20,ira,0.010752688172043012,Ira
matthei,2025-10-20,ironia,0.17204301075268819,Ironía
matthei,2025-10-20,miedo,0.053763440860215055,Miedo
matthei,2025-10-20,ninguna,0.16129032258064516,Ninguna
matthei,2025-10-27,desprecio,0.2268041237113402,Desprecio
matthei,2025-10-27,esperanza,0.05154639175257732,Esperanza
matthei,2025-10-27,indignacion,0.3402061855670103,Indignación
matthei,2025-10-27,ira,0.010309278350515464,Ira
matthei,2025-10-27,ironia,0.14432989690721648,Ironía
matthei,2025-10-27,miedo,0.05154639175257732,Miedo
matthei,2025-10-27,ninguna,0.17525773195876287,Ninguna
matthei,2025-11-03,desprecio,0.4177215189873418,Desprecio
matthei,2025-11-03,esperanza,0.02531645569620253,Esperanza
matthei,2025-11-03,indignacion,0.16455696202531644,Indignación
matthei,2025-11-03,ironia,0.1518987341772152,Ironía
matthei,2025-11-03,miedo,0.0379746835443038,Miedo
matthei,2025-11-03,ninguna,0.20253164556962025,Ninguna
matthei,2025-11-10,desprecio,0.2620689655172414,Desprecio
matthei,2025-11-10,esperanza,0.034482758620689655,Esperanza
matthei,2025-11-10,indignacion,0.19310344827586207,Indignación
matthei,2025-11-10,ira,0.006896551724137931,Ira
matthei,2025-11-10,ironia,0.12413793103448276,Ironía
matthei,2025-11-10,miedo,0.08275862068965517,Miedo
matthei,2025-11-10,ninguna,0.296551724137931,Ninguna
matthei,2025-11-17,desprecio,0.2571428571428571,Desprecio
matthei,2025-11-17,esperanza,0.009523809523809525,Esperanza
matthei,2025-11-17,indignacion,0.3047619047619048,Indignación
matthei,2025-11-17,ira,0.009523809523809525,Ira
matthei,2025-11-17,ironia,0.1523809523809524,Ironía
matthei,2025-11-17,miedo,0.009523809523809525,Miedo
matthei,2025-11-17,ninguna,0.2571428571428571,Ninguna
