n_comentarios,polarizacion_media,pct_negativo,author_hash,emocion_dominante,candidato_mas_frecuente,candidato_principal,tipo_autor
2,0.4,0.5,u_0f7504c5df8bef4f,indignacion,kast,kast,recurrente
1,0.45,1.0,u_d80f4fac8d3eafeb,ironia,kast,kast,esporadico
5,0.53,0.6,u_aacf9b358ff3dcd8,ironia,kast,kast,recurrente
4,0.4125,0.75,u_1f4df94991dc4d65,ironia,kast,kast,recurrente
1,0.5,1.0,u_3a9154aef90190e7,ironia,kast,kast,esporadico
2,0.475,0.5,u_69f46b87d3384bee,desprecio,jara,jara,recurrente
1,0.35,0.0,u_52a19e861c5721c1,indignacion,jara,jara,esporadico
1,0.25,0.0,u_bccf3ecea6ad2715,ninguna,jara,jara,esporadico
2,0.25,0.5,u_40cb04b6cdf3edb0,indignacion,kaiser,empate,recurrente
1,0.65,1.0,u_7c0bc71c653ac868,desprecio,matthei,matthei,esporadico
1,0.35,1.0,u_78560fbaf43597b1,esperanza,"kast, kaiser",empate,esporadico
1,0.3,1.0,u_dae62683d9fe1fab,ninguna,jara,jara,esporadico
1,0.1,0.0,u_c6d4169c12c317b8,ninguna,kaiser,kaiser,esporadico
4,0.4125,0.75,u_02385cdadf87e403,indignacion,kast,kast,recurrente
1,0.25,0.0,u_ee33946d5d84ef04,ironia,kast,kast,esporadico
1,0.45,1.0,u_5fbcb7e4186079e1,esperanza,jara,jara,esporadico
2,0.30000000000000004,0.0,u_df26cae565000f67,desprecio,jara,empate,recurrente
2,0.625,1.0,u_e19e252747698cb7,desprecio,jara,empate,recurrente
2,0.4,0.5,u_c78708bca9777616,desprecio,jara,empate,recurrente
5,0.39,0.8,u_a8933a5226bb7f30,indignacion,kaiser,kaiser,recurrente
1,0.8,1.0,u_67f86ad6a53b4866,desprecio,kast,kast,esporadico
1,0.45,1.0,u_3f3c8891909e9293,miedo,"kast, matthei, jara",empate,esporadico
2,0.225,0.5,u_31ba07f9b911189a,desprecio,"kast, jara",kast,recurrente
1,0.45,1.0,u_c6940a2983daffa3,miedo,kast,kast,esporadico
1,0.5,1.0,u_26885a5f406ad07b,indignacion,kast,kast,esporadico
4,0.55,1.0,u_2d70977c55299538,indignacion,kast,kast,recurrente
22,0.32499999999999996,0.5909090909090909,u_83dccc7ae205b371,ninguna,jara,jara,hiperactivo
1,0.45,0.0,u_a359b69cdd094990,indignacion,kast,kast,esporadico
1,0.65,1.0,u_6cb6a6af1e20ef84,indignacion,kast,kast,esporadico
3,0.4666666666666666,1.0,u_411b78f93035e931,desprecio,jara,jara,recurrente
1,0.55,1.0,u_94c7960beb3ae272,ironia,kast,kast,esporadico
1,0.75,1.0,u_f7266996756c45ce,desprecio,kast,kast,esporadico
10,0.44000000000000006,0.5,u_413e8091045f100e,desprecio,jara,jara,activo
1,0.55,1.0,u_5fe25f180df5ad35,desprecio,kast,kast,esporadico
1,0.4,0.0,u_7b84ca247ff1cf86,ironia,matthei,matthei,esporadico
1,0.35,0.0,u_37d1d05215e92a00,esperanza,kaiser,kaiser,esporadico
1,0.15,0.0,u_eb0d82d3d21180b2,indignacion,kaiser,kaiser,esporadico
1,0.1,1.0,u_8aafabaf337b909a,ironia,"kast, jara",empate,esporadico
1,0.65,1.0,u_37449b0b988407bd,ninguna,matthei,matthei,esporadico
13,0.3692307692307692,0.6153846153846154,u_3a130f2daec909e3,indignacion,jara,empate,activo
11,0.44090909090909086,0.6363636363636364,u_496cd38174fe9c93,desprecio,"kast, jara",kast,activo
14,0.31071428571428567,0.5714285714285714,u_e9baca7ddd31f9c0,desprecio,jara,jara,activo
2,0.175,0.0,u_e8f4cbbb35839929,ironia,kaiser,empate,recurrente
14,0.525,0.7857142857142857,u_32260a91bbb23aed,indignacion,kast,kast,activo
1,0.6,1.0,u_ec5d8aac7fccf265,desprecio,"kast, jara",empate,esporadico
2,0.525,1.0,u_f3678da04f4a2b3b,indignacion,kast,kast,recurrente
1,0.45,1.0,u_1fe6ec2addde15f0,ironia,jara,jara,esporadico
