document,chars,sents,tokens,types,puncts,numbers,symbols,urls,tags,emojis
text1187,NA,NA,9,9,0,0,0,0,0,0
text1188,NA,NA,6,6,0,0,0,0,0,0
text1189,NA,NA,9,9,0,0,0,0,0,0
text1190,NA,NA,56,47,0,0,0,0,0,0
text1191,NA,NA,10,10,0,0,0,0,0,0
text1192,NA,NA,93,77,0,0,0,0,0,0
text1193,NA,NA,7,7,0,0,0,0,0,0
text1194,NA,NA,10,10,0,0,0,0,0,0
text1195,NA,NA,7,7,0,0,0,0,0,0
text1196,NA,NA,35,32,0,0,0,0,0,0
text1197,NA,NA,17,17,0,0,0,0,0,0
text1198,NA,NA,2,2,0,0,0,0,0,0
text1199,NA,NA,5,5,0,0,0,0,0,0
text1200,NA,NA,20,18,0,0,0,0,0,0
text1201,NA,NA,8,8,0,0,0,0,0,0
text1202,NA,NA,162,121,0,0,0,0,0,0
text1203,NA,NA,8,8,0,0,0,0,0,0
text1204,NA,NA,11,11,0,0,0,0,0,0
text1205,NA,NA,12,12,0,0,0,0,0,0
text1206,NA,NA,10,10,0,0,0,0,0,0
text1207,NA,NA,13,9,0,0,0,0,0,0
text1208,NA,NA,7,7,0,0,0,0,0,0
text1209,NA,NA,2,2,0,0,0,0,0,0
text1210,NA,NA,104,80,0,0,0,0,0,0
text1211,NA,NA,7,7,0,0,0,0,0,0
text1212,NA,NA,36,34,0,0,0,0,0,0
text1213,NA,NA,4,4,0,0,0,0,0,0
text1214,NA,NA,9,9,0,0,0,0,0,0
text1215,NA,NA,14,14,0,0,0,0,0,0
text1216,NA,NA,7,7,0,0,0,0,0,0
text1217,NA,NA,8,8,0,0,0,0,0,0
text1218,NA,NA,7,7,0,0,0,0,0,0
text1219,NA,NA,6,6,0,0,0,0,0,0
text1220,NA,NA,13,13,0,0,0,0,0,0
text1221,NA,NA,37,32,0,0,0,0,0,0
text1222,NA,NA,86,58,0,0,0,0,0,0
text1223,NA,NA,29,28,0,0,0,0,0,0
text1224,NA,NA,192,112,0,0,0,0,0,0
text1225,NA,NA,22,21,0,0,0,0,0,0
text1226,NA,NA,1984,649,0,0,0,0,0,0
text1227,NA,NA,16,14,0,0,0,0,0,0
text1228,NA,NA,9,9,0,0,0,0,0,0
text1229,NA,NA,13,13,0,0,0,0,0,0
text1230,NA,NA,3,3,0,0,0,0,0,0
text1231,NA,NA,141,101,0,0,0,0,0,0
text1232,NA,NA,24,21,0,0,0,0,0,0
text1233,NA,NA,8,8,0,0,0,0,0,0
text1234,NA,NA,43,39,0,0,0,0,0,0
text1235,NA,NA,6,6,0,0,0,0,0,0
text1236,NA,NA,11,11,0,0,0,0,0,0
text1237,NA,NA,8,8,0,0,0,0,0,0
text1238,NA,NA,7,7,0,0,0,0,0,0
text1239,NA,NA,9,9,0,0,0,0,0,0
text1240,NA,NA,11,11,0,0,0,0,0,0
text1241,NA,NA,8,8,0,0,0,0,0,0
text1242,NA,NA,10,10,0,0,0,0,0,0
text1243,NA,NA,10,10,0,0,0,0,0,0
text1244,NA,NA,116,87,0,0,0,0,0,0
text1245,NA,NA,12,12,0,0,0,0,0,0
text1246,NA,NA,30,26,0,0,0,0,0,0
text1247,NA,NA,29,27,0,0,0,0,0,0
text1248,NA,NA,3,3,0,0,0,0,0,0
text1249,NA,NA,2,2,0,0,0,0,0,0
text1250,NA,NA,12,12,0,0,0,0,0,0
text1251,NA,NA,10,10,0,0,0,0,0,0
text1252,NA,NA,8,8,0,0,0,0,0,0
text1253,NA,NA,22,21,0,0,0,0,0,0
text1254,NA,NA,193,135,0,0,0,0,0,0
text1255,NA,NA,23,18,0,0,0,0,0,0
text1256,NA,NA,6,6,0,0,0,0,0,0
text1257,NA,NA,5,5,0,0,0,0,0,0
text1258,NA,NA,16,13,0,0,0,0,0,0
text1259,NA,NA,9,9,0,0,0,0,0,0
text1260,NA,NA,9,9,0,0,0,0,0,0
text1261,NA,NA,7,7,0,0,0,0,0,0
text1262,NA,NA,6,6,0,0,0,0,0,0
text1263,NA,NA,12,11,0,0,0,0,0,0
text1264,NA,NA,137,110,0,0,0,0,0,0
text1265,NA,NA,7,7,0,0,0,0,0,0
text1266,NA,NA,8,8,0,0,0,0,0,0
text1267,NA,NA,7,7,0,0,0,0,0,0
text1268,NA,NA,8,8,0,0,0,0,0,0
text1269,NA,NA,9,9,0,0,0,0,0,0
text1270,NA,NA,7,7,0,0,0,0,0,0
text1271,NA,NA,15,11,0,0,0,0,0,0
text1272,NA,NA,53,42,0,0,0,0,0,0
text1273,NA,NA,39,38,0,0,0,0,0,0
text1274,NA,NA,9,9,0,0,0,0,0,0
text1275,NA,NA,12,12,0,0,0,0,0,0
text1276,NA,NA,6,6,0,0,0,0,0,0
text1277,NA,NA,6,6,0,0,0,0,0,0
text1278,NA,NA,255,150,0,0,0,0,0,0
text1279,NA,NA,8,8,0,0,0,0,0,0
text1280,NA,NA,11,10,0,0,0,0,0,0
text1281,NA,NA,9,9,0,0,0,0,0,0
text1282,NA,NA,9,9,0,0,0,0,0,0
text1283,NA,NA,7,7,0,0,0,0,0,0
text1284,NA,NA,8,8,0,0,0,0,0,0
text1285,NA,NA,92,59,0,0,0,0,0,0
text1286,NA,NA,37,34,0,0,0,0,0,0
text1287,NA,NA,5,5,0,0,0,0,0,0
text1288,NA,NA,42,37,0,0,0,0,0,0
text1289,NA,NA,55,46,0,0,0,0,0,0
text1290,NA,NA,9,9,0,0,0,0,0,0
text1291,NA,NA,63,47,0,0,0,0,0,0
text1292,NA,NA,7,7,0,0,0,0,0,0
text1293,NA,NA,8,8,0,0,0,0,0,0
text1294,NA,NA,52,47,0,0,0,0,0,0
text1295,NA,NA,83,66,0,0,0,0,0,0
